Question,Answer
 Does the company have standards or secure technical implementation guides (STIGs) for all utilized server OSes?,No
Check all topics that are covered by your server hardening and build standards:(server),"x	Disable or remove all “guest” and built-in support accounts								
o	Physically disable the use of USB ports for external media or other connectivity solutions								
x	Create accounts in AD rather than locally on the machine								
x	Install anti-virus software and spyware								
o	Install host intrusion detection and prevention on servers								
x	Disable or remove all services								
x	OS and software must be updated with latest patch in terms of security								
x	Configure event log and audit								
x	Configure host-based firewall policy								
x	Review/configure of access control of key resources								
x	Set up the backup mechanism								
o	Other hardening and build procedures								"
Do you have a patch and vulnerability management strategy for servers?,yes
Do you have a standard to update and install security patches for operating systems and applications on servers?,yes
Do you test the update and security patches before installing on production servers?,yes
How often do you install the updates and security patches routinely?,Monthly
 Is there an emergency patch and management strategy if high risk issues are found?,Yes
Are all critical/high security patches applied within 30 days in your environment?,Yes
Are all your networking devices at the latest patch level?,Yes
Do you employ Firewalls to protect your network?,"Yes , Firewalls, zones are in place"
Do you use firewall-reporting tools to analyze your Firewall traffic?,"Yes , Tools in place for IPS and IDS protection"
Do you have intrusion detection or prevention systems (IDS/IPS)?,Yes Palo Alto Networks
"If yes, can this system analyze encrypted data?",Yes
Do you have a Data Loss Prevention system?,"Yes , Various tools and policies in placed"
What environments are you searching?,Production
Are measures in place for ensuring privacy and data protection in accordance with legal and contractual requirements?,Yes
"Do you maintain a data protection and privacy policy? If yes, please attach.
","Yes , https://www.logitech.com/en-roeu/legal/product-privacy-policy.html"
Do you have a mandatory Data Protection and Privacy training?,Yes
Please attach a document describing your data protection and privacy efforts.,----
"Are there direct interactions with your client's customers (Eaton customers)?
Will you have direct contact with Eaton customers?","No , No direct interaction with clients nor do we have anyway of knowing who vendors  clients are."
"Is a website(s) maintained or hosted for the purpose of advertising, offering, managing, or servicing accounts, products or services to clients customers? If yes, please explain.","No ,We have no way of knowing who clients customers are."
"Are accounts opened, financial transactions initiated or other account maintenance activity (e.g. applying payments, receiving payments, transferring of funds, etc.) through either electronic, telephonic, written or in-person requests made on behalf of your client's customers?",No
"Personally Identifiable Information (PII) associated with the District’s customers, employees, or other involved parties. (PII includes, but is not limited to, names, addresses, SSNs, DLs, purchase histories, etc.)",TRUE
"Payment Cardholder Information (PCI) associated with the District’s customers. (PCI includes debit/credit card numbers, expiration dates, track 1/2 data, etc.)",FALSE
"Other Types of Financial Account/Payment Information associated with the District’s customers, employees, or other involved parties. (This can include bank/brokerage account numbers, ACH codes, balances, debts, etc.)",FALSE
"Private Health Information (PHI) associated with the District’s customers, employees, or other involved parties. (PHI can include paper/electronic health records, treatment data, etc.)",FALSE
"Confidential Business Information associated with the District’s operations (water delivery and billing), intellectual property, legal/compliance, or other types of data elements subject to confidentiality requirements.",FALSE
Publicly Available Information associated with the District’s overall activities.,FALSE
"1. When sensitive District data of any of the types mentioned earlier (PII, PCI, PHI, Confidential Business Data) are entrusted into vendor’s care, identify how such data is segregated from that of other clients while in system storage (e.g., physical segregation, logical segregation via VLANs/firewalls, separate DB instances, etc.):","N/A ,  The Sensitive data mentioned is not collected by the platforms. "
"1. Identify the vendor’s overall incident response plan, specifically describe the timing and manner in which the District will be apprised of reported incidents and subsequent resolution tasks","Please see public Data privacy statements Yes , https://www.logitech.com/en-roeu/legal/product-privacy-policy.html"
"Describe any material claims, judgments, or privacy breaches involving your company or senior management in the past 24 months","From the security side, no breaches within the last 24 months. From the legal side, we have had privacy breaches, they were minor and did not lead to any legal action. They were however reported to regulators who decided against taking action against Logitech."
"Are there processes in place to respond to customer requests for data transparency as well as data removal from all internal systems, if said request is received, either directly from the customer","Yes , Individuals can contact customer service through our website, via telephone or email privacy@logitech.com directly. We also have two privacy policies (one for our website and one for all our products) to ensure we meet our transparency obligations."
Do you have a response team to address privacy incidents and data breaches?,"Yes , We have a security team led by the CISO as well as a Global Head of Privacy and privacy team to ensure security and privacy protocols are followed in the event of an incident or reportable data breach"
Is there a formal process or policy to prepare for and for rectifying data breaches?,"Yes , We have a security team led by the CISO as well as a Global Head of Privacy and privacy team to ensure security and privacy protocols are followed in the event of an incident or reportable data breach."
"Will Kroger be notified of all privacy related problems and incidents (e.g., privacy data breach, unauthorized access) involving and/or impacting the customer","Yes , The logitech privacy team will reach out via email to the email address to be provided by the customer"
"Is a web site supported, hosted or maintained that has access to customer systems  and data?","yes , ""The Logitech Sync portal has access to the customers  systems which are registered via the locally installed Sync agent - Sync agent is not a part of firmware/software on Logitech devices that don't have CollabOS (the Android 10 derived operating system running on Logitech Rally Bar, Rally Bar Mini, and RoomMate).
- On CollabOS, Sync agent is built in the operating system but it currently requires manually logging in the Sync portal. 
- On computers with Windows 10: Once a Logitech device is connected, all components of Sync agent except Sync user interface are installed as a critical update via Windows Updates. Sync user interface is required for logging the device in the Sync portal. Sync agent components including the user interface software can be bulk provisioned or installed locally using an .exe installer. 
- On Mac computers: Sync agent components including the user interface can be bulk provisioned or installed locally using a .pkg installer.                                                                                 The Sync agent is optional and does not get installed automatically."""
"Do you have logical or physical segregation between web, application and database components? (i.e. internet, DMZ, database)","yes , Yes but not physical.
- Although all data is physically commingled in a database, an organization’s data is logically coupled together with the schema design
- Besides, Sync service limits the user access of information to his/her organization only
- The computing resources for each request session is independent from one another. "
"Are web servers used for transmitting, processing or storing customer data?",Yes
Is HTTPS enabled for all web pages?,Yes
Are web server software versions that no longer have security patches released prohibited?,"Yes , Our development process ensures that no outdated versions of 3rd party dependencies/packages have been deployed to the cloud platform and also alerts if there are any reported vulnerabilities from the dependencies"
"Is an API available to clients? If yes, please provide details.","Yes , We provide API for Logitech Sync, detailed developer API reference is available upon request"
"Personally Identifiable Information (PII) associated with the District’s customers, employees, or other involved parties. (PII includes, but is not limited to, names, addresses, SSNs, DLs, purchase histories, etc.)",TRUE
"Payment Cardholder Information (PCI) associated with the District’s customers. (PCI includes debit/credit card numbers, expiration dates, track 1/2 data, etc.)",FALSE
"Are controls in place to ensure that technical vulnerabilities are quickly identified, evaluated and addressed?",Yes
Are protections against data leaks implemented?,Yes
Do you have a DLP (Data Loss Prevention) solution in place?,Yes
Is the network monitored to detect potential cybersecurity events?,Yes
"If yes, what IPS/IDS tools do you utilize?",Palo alto
Is the physical environment monitored to detect potential cybersecurity events?,Yes
Is personnel activity monitored to detect potential cybersecurity events?,Yes
Is malicious code detected?,Yes
Is external service provider activity monitored to detect potential cybersecurity events?,Yes
Are vulnerability scans performed?,Yes
What tools are utilized for vulnerability scans?,Yes
"Can you provide your latest vulnerability scan performed? In no, explain why.","No , confidential and we do not share"
"If no, can ( any vendor ) scan for vulnerabilities prior to implementation?        ","No,     Logitech is a hardware provider of Unified Communications and Video Collaboration equipment supporting Microsoft Teams, Zoom, Google and other platforms. We also provide software (Logitech Sync) to manage the devices and collect usage analytics. We sell the hardware through a network of distributors and resellers. This engagement will be accomplished by Eaton testing the hardware and software and then purchasing it through a reseller of their choice in which other services (installation, etc.) may or may not be offered with the hardware. If Eaton makes a decision to use Logitech Sync cloud portal for remote monitoring and management of Logitech devices, Eaton’s data will be stored in the Sync cloud. This data includes, for example, user accounts, room names, Logitech devices names, serial numbers, versions, event logs, and collected room analytics like number of participants attending meetings during the day, but not video live streams or recordings from Logitech cameras or mics from these meetings."
Are newly identified vulnerabilities mitigated or documented as acceptable risks?,Yes
 How do you know your systems are affected by vulnerabilities requiring patches?,Automatic vulnerability scanner 
Please describe other methods you employ to discover the vulnerabilities:,Scanning via Nexpose/Rapid7
What is your criteria or methodology for determining a vulnerability is an acceptable risk?,Logitech follows NIST 800-53 rev 4 and ISO 27001:2013 
Are notifications from detection systems investigated?,Yes
Is the impact of an incident understood within the cyber team along with senior management?,Yes
Are incidents categorized consistent with response plans?,Yes
 Is all security events and incidents occurred in servers and clients logged?,Yes
" Is all remote access to servers, clients and corporate networks logged?",Yes
 How long will the log generally be retained for auditing or potential forensic analysis?,3 months
Is all log data collected stored in a single place where it may be searched and correlated?,Yes
 Do you review and monitor the log regularly?,Yes
Do you keep the physical entry log of offices and data centers?,Yes
Do you utilize Web Application Firewall (WAF) to protect the application?,Yes
"If yes, please specify the vendor of WAF.",Amazon
"Are system, network and database administrator logins logged?",Yes
" In case of a breach of your systems that affects Nasdaq, will it be possible to share OS and application logs with Nasdaq?",No
Do you have a procedure to keep track of announcement of vulnerability patches for your networking devices?,"Yes, Patch and Vulnerability policy and procedure"
Do you scan for vulnerabilities in the environment?,"Yes , Internal and external vulnerabilities are scanned"
Do you scan all emails for viruses?,"yes ,"
Is there explicit policy requiring anti-virus software on networked computers?,"Yes , required for all systems connecting to Logitech's network"
Do you allow installation of personal and non-corporate approved software on network computers?,"Yes , Exceptions, through review and approval, and requirements and antivirus software on workstations prior to connection."
Are end-users prevented from disabling anti-virus software on personal computers?,"Yes ,MDM solution in placed "
"What type of information is collected in system logs? (Web, database, application, firewall and other network equipment.)",Depends on the tools and the data needed to perform monitoring and investigations (if needed). 
How is this information reviewed and at what interval?,Reviewed as needed and reviewed as triggered by alarms
Is this information stored in a SIEM product and correlated with other system events?,yes
Is a Computer Security Incident Response Team (CSIRT) in place?,Yes
"If Yes, describe the procedures in place for responding to security incidents.",For product we have 3rd party ethical research platform in place and a dedicated SOC team to handle incidents
"If Yes, what is the frequency for validating your incident response plan?",Annually and as needed. 
"Do you have dedicated Audit, Compliance and Risk Management personnel which audit policies, procedures and the review process?","Yes , Internal Audit and GRC Team"
"Are there formally documented policies and procedures for Security Assessments and Authorizations? If yes, please attach.",Yes
"Has the scope of the security assessment plan been addressed, and does it cover specific security controls and enhancements?
",Yes
Is there a continuous monitoring strategy? What metrics are used to ensure compliance?,Yes
Are continuous monitoring results analyzed?,Yes
Are security controls monitored for compliance? What actions are taken if components are deemed non-compliant?,Yes
Are the results of continuous monitoring reported to an authorizing official?,Yes
Does your organization do penetration testing on internal networks?,Yes
"Is there a device or component that is uniquely used with this system? (E.g., biomedical devices used particularly with this information system).","Yes , Video Conferencing equipment"
"Is there documentation on what information is communicated with that device, how it is transferred, and how the data is secured?",Yes
Do your contracts with external parties address the secure transfer of business information?,Yes
Do you have a well-defined and documented policy containing the requirements for confidentiality or non-disclosure agreements?,Yes
Do you maintain an adequate level of cyber insurance?,Yes
Does your cyber insurance plan specifically address ransomware?,Yes
"Do you maintain a list of all legal and contractual requirements, along with well-defined and documented policies and procedures on how to meet those requirements?",Yes
Do you have well-defined and documented procedures for ensuring compliance with legal and contractual requirements regarding intellectual property?,Yes
"Are controls in place for the protection of records in accordance with legal, contractual and business requirements?",Yes
"1. Summarize the vendor’s current cyber liability insurance policy coverage to protect the vendor (and the District via indemnification and/or as an additional insured) against substantial monetary losses arising from either first-party or third-party liability risks. Include policy limits and whether it covers 1) breach remediation and notification expenses, 2) breach response counsel, 3) forensic investigation, 4) credit monitoring services, 5) regulatory fines and penalties, 6) crisis management and public relations, 7) exclusions for mechanical failure, failure to maintain the computer network, failure to maintain risk controls or lack of encryption:","Yes, Logitech has cybersecurity insurance 
Here is the Logitech Data Privacy policy https://www.logitech.com/en-roeu/legal/product-privacy-policy.html"
5. Describe how the vendor product/service supports data retention schedules and the disposition of data.,"Once a customer signs up for Logitech Sync, all user
and device data regularly collected is retained within
the service until the customer decides to opt-out
of the service. To exit the service, customers should
make their request by completing the webform at
support.logitech.com/response-center Logitech
will then walk through the deletion process with the
customer. Once the account has been marked as
deleted, all customer data except product logs will be
permanently deleted immediately."
6. Describe how the vendor product/services support eDiscovery and Legal Hold (preserve in place) technology to preserve District data upon notification.,N/A
Has the data retention and acceptable usage of customers ’s data been defined in the MSA?,Logitech's  standard MSA agreement includes data protection and privacy provisions which describe the treatment and protection of data collected or exchanged by the parties to the MSA. 
What methods are used to purge data once it is no longer required?,"""To exit Sync service, an authorized user must initiate an exit request, which Logitech will validate. We will also ask the user to delete all the core data records via the service console so that the customer can verify that the data has been deleted from our database. Once both requests have been satisfied, Logitech will permanently delete the account from the service. If the customer decides to re-subscribe to the service, a new account will be created and its data records will have no association with the previous one.

In terms of equipment, consumer data associated with the service can reside in the following physical areas:
1. On-premise computer: When a customer uninstalls Sync service client, all the credentials and associated logs are deleted.
2. Third-party hosting center: While the physical equipment belonging to the platform owner can’t be disposed of, Logitech will delete associated data as described previously.

(Source: Sync SAQ)"""
Are there any storage media (e.g. backups) that the data would not be purged from?,No
"Is maintenance and repair of organizational assets performed and logged in a timely manner, with approved and controlled tools?",Yes
"Is remote maintenance of organizational assets approved, logged, and performed in a manner that prevents unauthorized access?",Yes
What type of notification will be sent to Eaton for scheduled changes?,"Email notifications from Logitech Sync

"
"If identification or authentication process fails, is a detailed message displayed to the user?","No, the text of the error message is: ""Email or password is incorrect. Please try again"
